"","country_name","asylum_granted"
"1","Germany",1210636
"2","France",436100
"3","United States",340881
"4","Sweden",248425
"5","Austria",141866
"6","United Kingdom",132349
"7","Italy",128033
"8","Switzerland",115868
"9","Canada",109264
"10","Spain",103679
"11","Greece",103136
"12","Netherlands",78911
"13","Belgium",65033
"14","Australia",57451
"15","Norway",49713
"16","Denmark",36718
"17","Finland",23483
"18","Cyprus",14037
"19","Malta",9208
"20","Ireland",9070
"21","Hungary",5898
"22","Luxembourg",5213
"23","Argentina",4045
"24","South Korea",3498
"25","Trinidad and Tobago",3224
"26","Poland",2811
"27","Panama",2632
"28","Portugal",2445
"29","Chile",2078
"30","Czech Republic",1959
"31","Lithuania",1915
"32","Israel",1898
"33","New Zealand",1808
"34","Iceland",1510
"35","UAE",1330
"36","Japan",1137
"37","Slovak Republic",1036
"38","Croatia",966
"39","Slovenia",858
"40","Kuwait",737
"41","Uruguay",719
"42","Latvia",667
"43","Saudi Arabia",340
"44","Oman",308
"45","Estonia",297
"46","Hong Kong",266
"47","Bahrain",256
"48","Qatar",201
"49","Liechtenstein",154
"50","Curacao",78
"51","Cayman Islands",43
"52","Bahamas",25
"53","Monaco",22
"54","Sint Maarten (Dutch part)",10
"55","Turks and Caicos Islands",8
"56","Singapore",5
