"","name","cd","capital","largest_city","2020_population","total_area","total_land","total_water"
"2","Alabama","AL","Montgomery","Huntsville","5,024,279","52,420","50,645","1,775"
"3","Alaska","AK","Juneau","Anchorage","733,391","665,384","570,641","94,743"
"4","Arizona","AZ","Phoenix","Phoenix","7,151,502","113,990","113,594","396"
"5","Arkansas","AR","Little Rock","Little Rock","3,011,524","53,179","52,035","1,143"
"6","California","CA","Sacramento","Los Angeles","39,538,223","163,695","155,779","7,916"
"7","Colorado","CO","Denver","Denver","5,773,714","104,094","103,642","452"
"8","Connecticut","CT","Hartford","Bridgeport","3,605,944","5,543","4,842","701"
"9","Delaware","DE","Dover","Wilmington","989,948","2,489","1,949","540"
"10","Florida","FL","Tallahassee","Jacksonville","21,538,187","65,758","53,625","12,133"
"11","Georgia","GA","Atlanta","Atlanta","10,711,908","59,425","57,513","1,912"
"12","Hawaii","HI","Honolulu","Honolulu","1,455,271","10,932","6,423","4,509"
"13","Idaho","ID","Boise","Boise","1,839,106","83,569","82,643","926"
"14","Illinois","IL","Springfield","Chicago","12,812,508","57,914","55,519","2,395"
"15","Indiana","IN","Indianapolis","Indianapolis","6,785,528","36,420","35,826","593"
"16","Iowa","IA","Des Moines","Des Moines","3,190,369","56,273","55,857","416"
"17","Kansas","KS","Topeka","Wichita","2,937,880","82,278","81,759","520"
"18","Kentucky","KY","Frankfort","Louisville","4,505,836","40,408","39,486","921"
"19","Louisiana","LA","Baton Rouge","New Orleans","4,657,757","52,378","43,204","9,174"
"20","Maine","ME","Augusta","Portland","1,362,359","35,380","30,843","4,537"
"21","Maryland","MD","Annapolis","Baltimore","6,177,224","12,406","9,707","2,699"
"22","Massachusetts","MA","Boston","Boston","7,029,917","10,554","7,800","2,754"
"23","Michigan","MI","Lansing","Detroit","10,077,331","96,714","56,539","40,175"
"24","Minnesota","MN","St. Paul","Minneapolis","5,706,494","86,936","79,627","7,309"
"25","Mississippi","MS","Jackson","Jackson","2,961,279","48,432","46,923","1,508"
"26","Missouri","MO","Jefferson City","Kansas City","6,154,913","69,707","68,742","965"
"27","Montana","MT","Helena","Billings","1,084,225","147,040","145,546","1,494"
"28","Nebraska","NE","Lincoln","Omaha","1,961,504","77,348","76,824","524"
"29","Nevada","NV","Carson City","Las Vegas","3,104,614","110,572","109,781","791"
"30","New Hampshire","NH","Concord","Manchester","1,377,529","9,349","8,953","397"
"31","New Jersey","NJ","Trenton","Newark","9,288,994","8,723","7,354","1,368"
"32","New Mexico","NM","Santa Fe","Albuquerque","2,117,522","121,590","121,298","292"
"33","New York","NY","Albany","New York City","20,201,249","54,555","47,126","7,429"
"34","North Carolina","NC","Raleigh","Charlotte","10,439,388","53,819","48,618","5,201"
"35","North Dakota","ND","Bismarck","Fargo","779,094","70,698","69,001","1,698"
"36","Ohio","OH","Columbus","Columbus","11,799,448","44,826","40,861","3,965"
"37","Oklahoma","OK","Oklahoma City","Oklahoma City","3,959,353","69,899","68,595","1,304"
"38","Oregon","OR","Salem","Portland","4,237,256","98,379","95,988","2,391"
"39","Pennsylvania","PA","Harrisburg","Philadelphia","13,002,700","46,054","44,743","1,312"
"40","Rhode Island","RI","Providence","Providence","1,097,379","1,545","1,034","511"
"41","South Carolina","SC","Columbia","Charleston","5,118,425","32,020","30,061","1,960"
"42","South Dakota","SD","Pierre","Sioux Falls","886,667","77,116","75,811","1,305"
"43","Tennessee","TN","Nashville","Nashville","6,910,840","42,144","41,235","909"
"44","Texas","TX","Austin","Houston","29,145,505","268,596","261,232","7,365"
"45","Utah","UT","Salt Lake City","Salt Lake City","3,271,616","84,897","82,170","2,727"
"46","Vermont","VT","Montpelier","Burlington","643,077","9,616","9,217","400"
"47","Virginia","VA","Richmond","Virginia Beach","8,631,393","42,775","39,490","3,285"
"48","Washington","WA","Olympia","Seattle","7,705,281","71,298","66,456","4,842"
"49","West Virginia","WV","Charleston","Charleston","1,793,716","24,230","24,038","192"
"50","Wisconsin","WI","Madison","Milwaukee","5,893,718","65,496","54,158","11,339"
"51","Wyoming","WY","Cheyenne","Cheyenne","576,851","97,813","97,093","720"
